nh=247575781 anf=bcd+abe+bde+abf+abg+deg+afg
nh=0 anf=abd+acd+bcd+abe+ace+ade+bcde+abcf+cdf+cef+cdef+acg+bdg+cdeg+acfg+cdfg+aefg
nh=247597061 anf=abd+acd+abe+cde+bcde+abcf+adf+cef+cdef+acg+bdg+cdeg+acfg+cdfg+aefg
nh=247592743 anf=abd+abe+ace+bce+ade+bcde+bcf+abcf+cef+cdef+acg+bdg+cdeg+acfg+cdfg+aefg
nh=0 anf=abc+abd+abe+ace+ade+bcde+abf+abcf+cef+cdef+acg+bdg+cdeg+acfg+cdfg+aefg
nh=0 anf=abc+abd+bcd+abe+ace+bce+bde+cde+bcde+abf+bcf+abcf+adf+cdf+bef+cdef+acg+bdg+cdeg+acfg+cdfg+aefg
nh=0 anf=abd+acd+abe+bde+cde+bcde+bcf+abcf+adf+cdf+bef+cdef+acg+bdg+cdeg+acfg+cdfg+aefg
nh=247597751 anf=abc+abd+acd+bcd+abe+bce+bde+cde+bcde+abcf+adf+cdf+bef+cdef+acg+bdg+cdeg+acfg+cdfg+aefg
nh=247596643 anf=abc+abd+acd+abe+bce+ade+bde+cde+bcde+abf+bcf+abcf+cdf+bef+cdef+acg+bdg+cdeg+acfg+cdfg+aefg
nh=0 anf=abd+abe+ade+bcde+abf+bcf+abcf+cdf+bef+cdef+acg+bdg+cdeg+acfg+cdfg+aefg
nh=247596779 anf=abd+acd+abe+ace+bce+ade+bcde+bcf+abcf+cdf+bef+cdef+acg+bdg+cdeg+acfg+cdfg+aefg
nh=0 anf=abc+abd+abe+ace+ade+cde+bcde+abf+abcf+cdf+bef+cdef+acg+bdg+cdeg+acfg+cdfg+aefg
nh=0 anf=abc+abd+abe+ace+ade+bcde+abf+abcf+cdf+bef+cdef+acg+bdg+cdeg+acfg+cdfg+aefg
nh=0 anf=abd+acd+bcd+abe+ace+ade+cde+bcde+abcf+cdf+bef+cdef+acg+bdg+cdeg+acfg+cdfg+aefg
nh=247589655 anf=abc+abd+acd+abe+ace+ade+bcde+abcf+cdf+bef+cdef+acg+bdg+cdeg+acfg+cdfg+aefg
nh=0 anf=abc+abd+acd+abe+bce+cde+bcde+abf+bcf+abcf+adf+bef+cdef+acg+bdg+cdeg+acfg+cdfg+aefg
nh=247591806 anf=abc+abd+bcd+abe+bce+bcde+abf+bcf+abcf+adf+bef+cdef+acg+bdg+cdeg+acfg+cdfg+aefg
nh=0 anf=abc+abd+abe+bce+bde+cde+bcde+bcf+abcf+adf+bef+cdef+acg+bdg+cdeg+acfg+cdfg+aefg
nh=0 anf=abc+abd+acd+abe+ace+bce+bde+bcde+bcf+abcf+adf+bef+cdef+acg+bdg+cdeg+acfg+cdfg+aefg
nh=247586948 anf=abd+abe+bce+bde+cde+bcde+abf+abcf+adf+bef+cdef+acg+bdg+cdeg+acfg+cdfg+aefg
nh=0 anf=abd+abe+ace+cde+bcde+abf+abcf+adf+bef+cdef+acg+bdg+cdeg+acfg+cdfg+aefg
nh=247596858 anf=abc+abd+bcd+abe+bce+bcde+abf+abcf+adf+bef+cdef+acg+bdg+cdeg+acfg+cdfg+aefg
nh=0 anf=abd+acd+abe+bce+bde+cde+bcde+abcf+adf+bef+cdef+acg+bdg+cdeg+acfg+cdfg+aefg
nh=0 anf=abd+bcd+abe+ace+cde+bcde+abcf+adf+bef+cdef+acg+bdg+cdeg+acfg+cdfg+aefg
nh=247591237 anf=abc+abd+acd+bcd+abe+bde+bcde+abcf+adf+bef+cdef+acg+bdg+cdeg+acfg+cdfg+aefg
nh=0 anf=abd+acd+bcd+abe+bce+ade+bde+cde+bcde+abf+bcf+abcf+bef+cdef+acg+bdg+cdeg+acfg+cdfg+aefg
nh=247587067 anf=bcd+abe+bce+cde+bcde+abf+bcf+abcf+bef+cdef+acg+bdg+cdeg+acfg+cdfg+aefg
nh=247601506 anf=abc+abd+acd+bcd+abe+ace+bce+ade+bcde+abf+bcf+abcf+bef+cdef+acg+bdg+cdeg+acfg+cdfg+aefg
nh=247592328 anf=abc+abd+bcd+abe+ace+ade+bde+cde+bcde+bcf+abcf+bef+cdef+acg+bdg+cdeg+acfg+cdfg+aefg
